Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
254612738,10/14/18 18:21,0,0,0
1154749723,10/14/18 18:20,0,0,-0.6
254282009,10/14/18 18:17,0,0,0
394045711,10/14/18 18:13,0,0,0
1710476310,10/14/18 18:13,0,0,0
4684473120,10/14/18 18:11,0.1,0,0
2645952871,10/14/18 18:02,0,0,0
2521143847,10/14/18 17:55,0.35,0,0
14967387,10/14/18 17:55,0,0,-0.15
47499094,10/14/18 17:49,0,0,-0.2
219554555,10/14/18 17:45,0,0,-0.166666667
123041474,10/14/18 17:40,0,0,-0.166666667
15756056,10/14/18 17:40,0,0,-0.1
79084197,10/14/18 17:39,0,0,-0.5
8.23041E+17,10/14/18 17:39,0,0,-0.166666667
15636847,10/14/18 17:38,0,0,-0.1
8.21088E+17,10/14/18 17:36,0,0,-0.166666667
2185240478,10/14/18 17:35,0,0,-0.3
3335126113,10/14/18 17:35,0,0,0
35773039,10/14/18 17:33,0.190340909,0,0
14185814,10/14/18 17:30,0,0,-0.1
189336597,10/14/18 17:28,0,0,-0.166666667
9.33023E+17,10/14/18 17:28,0,0,-0.214285714
47826049,10/14/18 17:26,0,0,0
60181911,10/14/18 17:24,0,0,-0.108333333
441983057,10/14/18 17:24,0,0,0
1.04634E+18,10/14/18 17:23,0,0,0
3305435228,10/14/18 17:21,0.068181818,0,0
3015065174,10/14/18 17:21,0.068181818,0,0
2429612832,10/14/18 17:12,0,0,0
28204965,10/14/18 17:11,0,0,-0.166666667
82449826,10/14/18 17:10,0,0,0
565944301,10/14/18 17:08,0,0,-0.166666667
14268564,10/14/18 17:08,0,0,-0.1
1.04708E+18,10/14/18 17:00,0,0,0
8.04924E+17,10/14/18 16:58,0,0,-0.021428571
14511951,10/14/18 16:58,0,0,-0.166666667
2461887810,10/14/18 16:58,0.25,0,0
826323392,10/14/18 16:57,0,0,-0.25
1894460682,10/14/18 16:57,0,0,-0.258333333
16560907,10/14/18 16:55,0.5,0,0
48379522,10/14/18 16:54,0,0,0
2948551120,10/14/18 16:47,0.375,0,0
132656546,10/14/18 16:46,0.009090909,0,0
7.09966E+17,10/14/18 16:42,0,0,0
234905293,10/14/18 16:38,0,0,-0.1
136361303,10/14/18 16:35,0,0,0
611822095,10/14/18 16:33,0,0,0
562684920,10/14/18 16:31,0.6,0,0
188770786,10/14/18 16:29,0,0,-0.166666667
2993386048,10/14/18 16:28,0,0,-0.161111111
9.07094E+17,10/14/18 16:27,0.4,0,0
9.07094E+17,10/14/18 16:27,0,0,0
452172857,10/14/18 16:27,0,0,-0.411111111
7797322,10/14/18 16:19,0,0,-0.121212121
6870282,10/14/18 16:18,0,0,-0.14375
2444365614,10/14/18 16:15,0.033333333,0,0
7.22562E+17,10/14/18 16:15,0,0,0
177226195,10/14/18 16:14,0,0,-0.1
23345560,10/14/18 16:13,0,0,-0.166666667
247055208,10/14/18 16:13,0,0,-0.166666667
172055494,10/14/18 16:12,0,0,0
78962736,10/14/18 16:11,0,0,0
