Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
8.93372E+17,10/20/18 16:14,0,0,0
268194594,10/20/18 16:01,0,0,0
155706655,10/20/18 15:52,0.5,0,0
1626105002,10/20/18 15:52,0,0,-0.2
9.66417E+17,10/20/18 15:38,0,0,-0.1
1.01396E+18,10/20/18 15:34,0,0,0
8.25044E+17,10/20/18 14:54,0,0,0
579340846,10/20/18 14:48,0,0,0
1.0426E+18,10/20/18 14:46,0,0,0
2763454747,10/20/18 14:33,0,0,0
973643707,10/20/18 14:15,0,0,0
1529048136,10/20/18 14:03,0.368181818,0,0
236422033,10/20/18 13:45,0,0,0
8.46869E+17,10/20/18 13:35,0.2,0,0
2937649029,10/20/18 12:38,0,0,0
28371395,10/20/18 12:28,0,0,0
236422033,10/20/18 12:20,0,0,0
3194761068,10/20/18 12:17,0,0,0
215386516,10/20/18 12:10,0,0,0
2893967301,10/20/18 11:50,0,0,0
1.02857E+18,10/20/18 11:15,0,0,0
7.86991E+17,10/20/18 11:01,0,0,0
259796431,10/20/18 10:30,0.357142857,0,0
31327090,10/20/18 10:20,0,0,0
1671537799,10/20/18 9:54,0,0,0
4835260737,10/20/18 9:48,0,0,0
2212854940,10/20/18 9:34,0,0,0
32964505,10/20/18 8:37,0,0,0
1671537799,10/20/18 7:55,0,0,0
1.02393E+18,10/20/18 7:31,0,0,0
7.70111E+17,10/20/18 6:09,0,0,0
1907924652,10/20/18 6:03,0,0,0
341094212,10/20/18 5:21,0,0,0
827926069,10/20/18 4:21,0.25,0,0
320298298,10/20/18 4:16,0,0,0
345179256,10/20/18 3:58,0.85,0,0
2948495735,10/20/18 3:52,0.333333333,0,0
710303638,10/20/18 3:51,0,0,0
827926069,10/20/18 3:50,0,0,0
710303638,10/20/18 3:43,0.6,0,0
2565082368,10/20/18 3:39,0,0,0
240784811,10/20/18 3:25,0,0,0
2788209405,10/20/18 3:15,0,0,-0.1
562207202,10/20/18 3:11,0,0,0
